Offer SKU;Product SKU;Category code;Category label;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;EAN;Inactivity reason;Fulfillment center code
0005473000;M5056798443371;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Elegant Leather Handbag With Detachable Crossbody Strap;New;110.00;110.00;4;;INIT;yes;;;;;;5056798443371;;DEFAULT
0005818000;M5056798447133;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Classic Leather Laptop Bag;New;109.99;165.00;3;;INIT;yes;;;109.99;;;5056798447133;;DEFAULT
0005308000;M5061027914126;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Antrim' Chic Real Leather Shoulder Bag;New;65.32;129.00;16;;INIT;yes;;;65.32;;;5061027914126;;DEFAULT
0005434400;M5056798415361;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'York' Real Leather Smartphone Crossbody Bag;New;46.66;90.00;96;;INIT;yes;;;46.66;;;5056798415361;;DEFAULT
0003934700;M5060821283087;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'G-Purse' Vintage Wash Real Leather Wallet Purse;New;39.99;40.00;0;;INIT;no;;;39.99;;;5060821283087;Out of stock;DEFAULT
0004684703;M5056798425070;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Nirma' Detachable Hood Leather Biker Jacket;New;111.99;169.00;1;;INIT;yes;;;111.99;;;5056798425070;;DEFAULT
0004685904;M5056798425186;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Nirma' Detachable Hood Leather Biker Jacket;New;111.99;169.00;0;;INIT;no;;;111.99;;;5056798425186;Out of stock;DEFAULT
0005499308;M5056798451949;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Nova2' Real Leather Biker Jacket With Stitch Detailings;New;240.00;299.00;3;;INIT;yes;;;240.00;;;5056798451949;;DEFAULT
0005193702;M5056798402187;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Eva' Leather Biker Style Jacket Women Coat;New;113.32;189.00;1;;INIT;yes;;;113.32;;;5056798402187;;DEFAULT
0005430400;M5056798414753;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Swansea' Real Leather Crossbody Bag;New;42.66;100.00;190;;INIT;yes;;;42.66;;;5056798414753;;DEFAULT
0005203400;M5061049608201;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Curvo' Real Leather Crossbody Bag;New;39.99;69.99;13;;INIT;yes;;;39.99;;;5061049608201;;DEFAULT
0005285200;M5056798413299;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Compact Leather Phone Bag with Adjustable Strap and Brass Hardware;New;38.39;60.00;0;;INIT;no;;;38.39;;;5056798413299;Out of stock;DEFAULT
0005433100;M5056798415170;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Newport' Real Leather Multi-Pocket Shoulder Bag;New;59.99;130.00;92;;INIT;yes;;;59.99;;;5056798415170;;DEFAULT
0005197305;M5056798401944;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Fia' Real Leather Biker Jacket Women Coat;New;133.32;199.00;21;;INIT;yes;;;133.32;;;5056798401944;;DEFAULT
0004413400;M5061027910340;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'Joe' Real Leather Laptop Messenger Bag;New;101.32;129.95;7;;INIT;yes;;;101.32;;;5061027910340;;DEFAULT
0005341702;M5056798435789;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Chiara' Mandarin Collar Real Leather Biker Jacket;New;173.32;229.00;2;;INIT;yes;;;173.32;;;5056798435789;;DEFAULT
0001367802;M5056798404648;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Edinburgh' Real Leather Bomber Jacket;New;199.99;229.00;3;;INIT;yes;;;199.99;;;5056798404648;;DEFAULT
0005547305;M5056798455510;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Hayden' Real Leather Fashion Biker Jacket;New;185.65;249.00;2;;INIT;yes;;;185.65;;;5056798455510;;DEFAULT
0005468300;M5056798442909;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Stylish Compact Ladies Purse with RFID Protection;New;50.00;50.00;4;;INIT;yes;;;;;;5056798442909;;DEFAULT
0005475400;M5056798443548;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Exquisite Genuine Leather Compact Backpack;New;150.00;150.00;2;;INIT;yes;;;;;;5056798443548;;DEFAULT
0005473300;M5056798443401;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Elegant Leather Handbag With Detachable Crossbody Strap;New;110.00;110.00;4;;INIT;yes;;;;;;5056798443401;;DEFAULT
0004288300;M5061042996718;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Arcobaleno' 12 Card RFID Protected Leather Purse;New;26.66;39.00;0;;INIT;no;;;26.66;;;5061042996718;Out of stock;DEFAULT
0005474400;M5056798443449;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Premium Leather Shoulder Bag with Detachable Crossbody Strap;New;150.00;150.00;4;;INIT;yes;;;;;;5056798443449;;DEFAULT
0001322200;M5060474524520;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;A4 Real Leather Document Holder;New;51.19;60.00;2;;INIT;yes;;;51.19;;;5060474524520;;DEFAULT
0004926700;M5061027911187;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Bella Toscana' Real Leather Crossbody Bag with Webbing Strap;New;73.32;110.00;23;;INIT;yes;;;73.32;;;5061027911187;;DEFAULT
0005441000;M5056798441711;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Fiorella' Real Leather Handbag with Detachable Crossbody Strap;New;126.66;170.00;145;;INIT;yes;;;126.66;;;5056798441711;;DEFAULT
0005498000;M5056798452632;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'No7' Real Leather Sports Holdall Bag with Shoulder Strap;New;280.00;280.00;3;;INIT;yes;;;;;;5056798452632;;DEFAULT
0005350500;M5056798408929;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'Plutus' Real Leather Wallet;New;35.99;79.00;41;;INIT;yes;;;35.99;;;5056798408929;;DEFAULT
0001323500;M5060474526203;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Real Leather Messenger Bag;New;79.99;120.00;0;;INIT;no;;;79.99;;;5060474526203;Out of stock;DEFAULT
0005547306;M5056798455527;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Hayden' Real Leather Fashion Biker Jacket;New;185.65;249.00;2;;INIT;yes;;;185.65;;;5056798455527;;DEFAULT
0005474200;M5056798443432;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Premium Leather Shoulder Bag with Detachable Crossbody Strap;New;150.00;150.00;3;;INIT;yes;;;;;;5056798443432;;DEFAULT
0005474800;M5056798443524;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Exquisite Genuine Leather Compact Backpack;New;150.00;150.00;3;;INIT;yes;;;;;;5056798443524;;DEFAULT
0004155802;M5061027913754;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'lolita' Real Leather Mandarin Collar Biker Jacket;New;146.66;159.00;1;;INIT;yes;;;146.66;;;5061027913754;;DEFAULT
0005385100;M5056798404341;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Meath' Real Leather Shoulder Bag;New;59.99;159.00;2;;INIT;yes;;;59.99;;;5056798404341;;DEFAULT
