Index,Image,Style,Colour,Offer SKU,SKURestockDate,StyleRestockDate,Cost Price,RRP,Sale Price,Stock,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Total Sold
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,rasberry sorbet,0004926800,2024-04-01,2023-11-01,14.05,110.00,54.99,26.0,5,4,2,2,13
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,sodalite blue,0004926900,2024-08-01,2023-11-01,14.05,110.00,54.99,60.0,1,1,1,3,6
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,BERRY,0005385100,2025-04-01,2024-10-01,10.75,159.00,44.99,2.0,0,4,0,2,6
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,BLACK,0005308700,2024-10-01,2024-10-01,10.75,159.00,44.99,306.0,0,107,124,15,246
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,BLUSH,0005435000,2025-03-01,2024-10-01,10.75,159.00,44.99,91.0,0,0,3,5,8
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,COGNAC,0005308800,2024-11-01,2024-10-01,10.75,159.00,44.99,137.0,0,47,33,6,86
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,FERN,0005435100,2025-04-01,2024-10-01,10.75,159.00,44.99,92.0,0,0,0,7,7
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,HOT PINK,0005435200,2025-03-01,2024-10-01,10.75,159.00,44.99,94.0,0,0,1,3,4
40,https://www.leathercompany.co.uk/images/products/zoom/1731601943-78246500.jpg,meath,MUSHROOM,0005385200,2024-11-01,2024-10-01,10.75,159.00,44.99,0.0,0,6,4,3,13
41,https://www.leathercompany.co.uk/images/products/zoom/1709648075-81641000.jpg,lb-6354,BROWN/SUEDE,0005068100,2024-03-01,2024-03-01,-,129.00,50.0,14.0,146,156,32,6,340
42,https://www.leathercompany.co.uk/images/products/zoom/1716310701-20757800.jpg,64397,BLACK,0005169800,2024-10-01,2024-10-01,-,110.00,39.99,7.0,0,64,4,36,104
42,https://www.leathercompany.co.uk/images/products/zoom/1716310701-20757800.jpg,64397,DENIM BLUE,0005169900,2024-10-01,2024-10-01,-,110.00,39.99,25.0,0,32,27,17,76
42,https://www.leathercompany.co.uk/images/products/zoom/1716310701-20757800.jpg,64397,GREEN,0005170000,2024-10-01,2024-10-01,-,110.00,39.99,48.0,0,8,3,3,14
42,https://www.leathercompany.co.uk/images/products/zoom/1716310701-20757800.jpg,64397,ICE GREY,0005170100,2024-10-01,2024-10-01,-,110.00,39.99,37.0,0,17,17,14,48
42,https://www.leathercompany.co.uk/images/products/zoom/1716310701-20757800.jpg,64397,TAN,0005170200,2024-10-01,2024-10-01,-,110.00,39.99,30.0,0,64,2,16,82
43,https://www.leathercompany.co.uk/images/products/zoom/1669134645-66057900.jpg,63790 croc,BLK/CROC,0004508400,2024-07-01,2024-07-01,-,100.00,33.99,36.0,11,85,76,30,202
43,https://www.leathercompany.co.uk/images/products/zoom/1669134645-66057900.jpg,63790 croc,GREEN/CROC,0004508500,2024-07-01,2024-07-01,-,100.00,33.99,0.0,11,29,46,4,90
43,https://www.leathercompany.co.uk/images/products/zoom/1669134645-66057900.jpg,63790 croc,TAN/CROC,0004508600,2024-10-01,2024-07-01,-,100.00,33.99,131.0,0,22,31,18,71
44,https://www.leathercompany.co.uk/images/products/zoom/1705406295-39481200.jpg,64202,2 tone tan,0004931200,2024-04-01,2023-11-01,-,129.00,44.99,103.0,2,24,18,3,47
44,https://www.leathercompany.co.uk/images/products/zoom/1705406295-39481200.jpg,64202,BLACK,0004931100,2023-11-01,2023-11-01,-,129.00,44.99,0.0,5,94,53,10,162
